"id"	"Daily.events"	"Prioritising.workload"	"Writing.notes"	"Workaholism"	"Thinking.ahead"	"Final.judgement"	"Reliability"	"Keeping.promises"	"Loss.of.interest"	"Friends.versus.money"	"Funniness"	"Fake"	"Criminal.damage"	"Decision.making"	"Elections"	"Self.criticism"	"Judgment.calls"	"Hypochondria"	"Empathy"	"Eating.to.survive"	"Giving"	"Compassion.to.animals"	"Borrowed.stuff"	"Loneliness"	"Cheating.in.school"	"Health"	"Changing.the.past"	"God"	"Dreams"	"Charity"	"Number.of.friends"	"Waiting"	"New.environment"	"Mood.swings"	"Appearence.and.gestures"	"Socializing"	"Achievements"	"Responding.to.a.serious.letter"	"Children"	"Assertiveness"	"Getting.angry"	"Knowing.the.right.people"	"Public.speaking"	"Unpopularity"	"Life.struggles"	"Happiness.in.life"	"Energy.levels"	"Small...big.dogs"	"Personality"	"Finding.lost.valuables"	"Getting.up"	"Interests.or.hobbies"	"Parents..advice"	"Questionnaires.or.polls"
"117"	3	1	1	1	5	3	3	4	1	5	3	2	1	5	5	5	3	1	5	2	4	5	5	5	2	4	3	5	3	1	1	3	1	4	4	2	3	5	3	1	3	1	5	5	5	2	1	2	2	3	5	1	4	4
"118"	3	1	3	1	5	3	4	4	1	5	2	4	1	5	2	4	4	5	5	3	3	5	5	4	3	5	3	4	3	1	1	4	3	3	4	1	2	4	4	4	2	2	3	5	5	3	3	3	3	3	3	2	4	2
"119"	4	3	3	5	4	2	4	4	3	3	2	2	1	4	4	3	3	2	3	1	2	5	5	3	2	3	2	1	4	2	2	2	2	3	2	4	3	4	2	3	2	2	4	3	3	5	3	3	3	4	2	3	3	5
"120"	2	4	5	2	5	4	4	4	5	3	2	2	5	3	1	5	5	2	5	2	1	4	5	2	4	4	3	5	3	2	2	4	4	4	4	2	4	4	5	2	4	4	3	3	4	5	5	4	3	2	5	1	4	5
"121"	5	2	1	5	5	1	5	4	5	3	5	4	1	1	5	5	5	1	3	1	1	1	2	2	1	2	2	1	3	1	1	4	5	1	2	4	3	3	3	5	1	3	1	3	1	4	2	3	4	1	1	1	2	5
"122"	4	4	2	5	4	2	3	4	3	2	5	2	1	3	1	4	3	1	4	4	2	5	4	2	5	2	1	4	4	1	3	3	4	3	3	4	2	3	4	3	3	5	4	3	1	4	4	4	4	1	3	4	2	3
"123"	4	4	4	5	2	5	4	5	1	5	4	2	3	3	5	5	4	1	4	2	4	5	5	2	5	3	2	5	4	2	3	3	3	3	2	2	3	4	4	4	4	3	2	3	4	4	4	4	3	4	3	3	3	4
"124"	1	2	3	3	3	1	4	4	3	4	3	2	2	3	2	2	3	2	3	2	3	4	4	3	4	3	2	3	4	2	3	4	3	4	3	2	3	3	2	2	2	3	2	3	5	3	2	3	3	3	3	2	3	4
"125"	4	2	2	3	4	2	4	4	1	2	3	1	1	2	3	5	3	1	3	2	4	2	4	2	2	2	2	1	4	4	4	4	4	2	3	2	3	1	4	4	1	3	2	4	1	3	4	5	3	3	3	4	3	2
"126"	4	3	5	5	4	2	4	4	2	4	4	2	3	3	5	4	3	2	5	4	4	5	5	3	3	3	3	4	4	4	4	3	3	4	4	3	3	3	5	4	3	4	4	4	4	4	5	3	3	3	5	5	4	4
"127"	3	5	5	3	4	3	5	4	3	3	3	3	1	5	5	4	4	1	4	1	5	3	5	4	3	4	3	3	3	1	2	1	4	5	4	4	3	4	3	3	5	3	5	4	4	3	3	1	3	1	2	2	3	3
"128"	4	2	1	1	4	3	4	4	2	3	3	2	1	3	5	5	4	2	3	4	2	4	5	3	5	2	3	3	3	3	3	3	4	4	3	3	2	2	3	3	2	3	2	3	4	3	3	5	3	1	5	4	2	5
"129"	5	1	3	3	2	1	4	4	5	5	2	1	1	5	1	3	3	5	5	2	3	3	5	5	1	2	5	5	4	3	1	5	5	5	5	3	3	1	3	1	3	5	1	5	5	5	5	1	3	4	3	5	3	5
"130"	2	3	4	1	2	5	4	3	3	5	2	2	1	3	5	4	5	2	5	1	2	5	5	2	3	3	2	5	3	2	4	3	3	4	4	3	3	3	4	3	4	4	4	4	5	4	4	3	4	4	5	3	3	3
"131"	1	3	4	4	4	1	4	4	3	3	5	1	1	2	5	4	5	2	4	1	3	4	5	1	3	4	4	2	4	2	4	3	4	3	4	4	4	4	3	5	5	5	2	3	4	4	4	4	4	1	5	4	4	5
"132"	4	1	1	1	4	3	2	4	2	2	5	3	1	3	1	2	5	1	5	4	1	5	5	3	5	4	3	3	2	1	4	4	5	3	5	3	4	2	4	5	2	4	4	4	1	4	4	1	4	1	3	1	2	4
"133"	4	4	2	5	4	1	4	5	1	2	5	4	5	4	1	4	5	3	4	3	1	5	4	5	5	2	1	4	4	1	1	3	4	4	4	3	3	4	4	3	2	3	5	4	4	2	3	4	3	2	4	2	2	5
"134"	3	5	5	5	4	3	5	5	1	4	1	1	1	5	3	4	4	1	4	3	4	5	5	2	2	3	3	5	3	2	3	2	3	4	4	1	2	1	5	3	4	2	4	4	5	3	4	5	3	4	4	5	4	2
"135"	3	5	5	5	5	5	3	5	5	3	4	5	5	5	1	5	5	3	5	5	1	5	5	5	4	3	5	1	3	1	3	1	3	5	3	1	3	1	3	3	5	4	5	5	5	1	1	5	1	1	5	1	1	1
"136"	2	1	1	1	5	3	3	4	2	5	4	1	1	5	4	4	4	1	5	2	2	5	5	3	5	3	4	3	4	2	3	1	3	3	2	2	4	5	3	2	5	3	5	4	2	3	2	2	3	2	4	2	3	4
"137"	3	2	1	3	4	5	4	5	1	5	4	2	1	3	5	3	4	1	3	1	2	5	5	4	4	3	3	5	3	2	3	3	3	3	4	3	3	5	3	3	3	2	5	5	5	4	4	4	3	5	5	4	4	2
"138"	4	3	5	5	3	2	3	3	4	3	3	2	4	3	1	3	2	1	3	2	4	3	4	5	2	3	5	4	3	1	1	4	2	5	3	3	1	2	5	3	5	3	2	4	3	3	3	3	2	4	3	1	5	4
"139"	4	2	2	1	5	2	5	5	5	4	3	1	1	4	5	4	5	1	5	2	1	2	5	4	4	3	5	5	3	3	4	5	5	2	3	5	3	5	5	4	1	2	5	5	3	4	4	3	3	4	3	3	5	5
"140"	3	2	5	2	4	4	4	4	5	5	4	3	4	4	4	5	5	1	4	2	1	3	5	4	2	4	2	5	4	3	3	2	5	5	5	4	5	5	4	3	4	4	2	2	4	3	4	3	3	3	5	5	4	5
"141"	2	4	4	4	4	3	4	5	1	5	2	2	1	3	5	5	5	1	4	4	4	5	3	3	4	3	5	5	3	4	4	4	1	4	3	4	2	5	5	5	2	4	5	5	5	4	4	4	3	5	4	4	4	3
"142"	1	5	3	5	5	2	5	5	5	3	3	2	1	1	5	4	5	1	3	2	1	5	2	3	2	1	1	3	3	1	3	2	1	5	3	3	4	5	3	5	3	5	3	5	3	3	3	3	4	1	4	5	3	2
"143"	3	3	3	3	2	2	4	3	1	3	2	1	1	4	3	4	4	5	3	3	4	4	4	3	3	5	3	2	2	4	2	5	3	5	1	2	1	4	3	3	3	4	5	3	4	3	3	1	3	4	5	2	2	2
"144"	1	2	3	3	5	3	5	4	2	4	3	1	1	3	3	3	4	3	5	1	3	5	5	3	5	4	2	3	4	1	3	3	3	4	4	4	4	1	4	2	3	3	5	3	5	3	3	5	4	1	4	2	3	5
"145"	1	5	4	3	4	1	5	5	1	5	2	4	5	5	1	5	4	1	4	2	1	5	5	4	1	1	5	1	2	1	1	4	1	4	4	1	1	4	2	2	1	1	5	3	1	1	2	3	2	4	1	1	1	4
"146"	2	2	3	2	2	3	4	3	4	3	4	4	1	2	5	4	4	2	4	1	3	2	3	3	3	3	4	4	4	3	3	2	4	3	4	2	4	3	4	3	3	3	3	4	5	4	4	2	3	3	4	3	3	4
"147"	4	3	4	3	5	1	5	5	1	4	4	1	5	4	5	5	5	1	2	1	1	1	4	3	3	4	1	5	3	3	3	4	3	2	4	2	3	1	4	3	2	3	1	5	3	5	3	3	3	5	2	3	2	2
"148"	3	4	4	5	4	3	5	5	3	4	2	3	3	3	5	4	2	2	3	3	2	4	5	4	2	4	1	2	4	3	1	1	1	2	2	1	4	5	3	2	2	3	5	4	1	4	3	2	3	4	3	3	4	3
"149"	2	3	2	4	4	5	4	4	2	4	3	2	4	3	5	4	4	2	4	5	3	3	5	2	3	4	3	5	3	2	3	4	4	2	3	3	2	2	3	3	2	3	5	3	2	4	2	2	4	4	2	2	4	3
"150"	2	3	2	3	2	3	2	2	2	5	3	3	3	2	3	1	2	1	2	3	2	1	2	3	2	2	1	4	3	2	2	2	4	3	2	3	4	3	5	2	2	3	5	4	2	3	2	3	2	3	2	3	3	3
"151"	5	2	1	2	3	2	5	5	3	3	4	2	2	5	5	5	4	3	4	1	5	4	4	2	1	3	1	1	4	2	3	2	3	3	4	1	2	4	2	4	2	3	5	3	2	4	4	3	3	5	1	3	3	3
"152"	5	1	4	4	4	1	5	4	3	3	4	3	1	3	5	5	4	1	4	3	2	4	5	3	5	4	3	2	4	1	3	1	4	4	4	2	4	4	2	2	2	3	5	4	3	3	4	4	4	1	1	3	3	2
"153"	5	1	5	4	5	5	3	5	1	5	5	1	5	2	5	4	5	1	5	1	5	5	3	5	5	5	5	5	3	3	5	5	5	5	5	5	2	3	5	5	5	3	1	5	5	5	5	2	4	2	5	5	4	2
"154"	5	2	3	2	3	3	3	3	2	1	3	2	4	2	4	5	4	2	4	1	2	4	4	4	5	3	2	4	3	2	3	2	3	3	5	2	2	3	3	2	3	5	3	4	4	4	4	1	3	4	4	3	4	3
"155"	4	4	4	3	5	1	5	5	2	3	3	1	2	3	1	4	4	2	1	2	1	5	4	2	5	4	1	1	3	2	3	4	5	2	3	2	4	5	1	5	4	5	3	5	2	5	4	4	2	3	2	5	3	3
"156"	4	5	5	5	5	1	5	5	5	1	1	5	5	1	3	5	5	5	5	5	5	5	5	5	2	1	5	1	2	5	1	4	1	5	2	5	1	4	4	4	1	5	5	3	3	2	1	5	3	1	5	4	5	5
"157"	5	3	3	3	3	3	3	3	3	3	3	1	1	3	3	3	3	3	3	3	1	2	1	5	2	3	2	5	3	5	3	4	3	2	3	3	4	4	5	3	2	2	5	3	1	2	3	1	3	3	5	4	3	3
"158"	4	2	1	1	4	5	3	3	3	3	3	4	2	3	5	5	3	1	4	2	1	2	4	2	5	3	3	5	4	1	5	2	3	3	3	4	3	4	5	3	2	4	2	4	2	4	3	1	4	2	4	3	4	5
"159"	4	4	4	2	3	3	4	4	5	4	3	2	4	5	1	4	4	1	3	2	3	5	4	5	5	4	3	4	3	2	2	1	5	5	3	3	3	5	3	3	5	3	5	5	4	3	5	3	3	3	5	5	3	2
"160"	3	3	5	5	4	3	5	5	2	5	4	2	3	3	5	4	4	2	4	3	3	3	2	2	4	2	3	5	3	3	4	4	4	2	4	3	2	3	4	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2
"161"	4	1	1	1	1	3	3	5	1	5	5	1	1	2	5	4	4	1	4	1	3	2	3	3	4	1	5	1	3	4	3	5	3	2	4	3	3	3	5	3	1	1	2	5	1	2	3	3	3	3	5	5	2	3
"162"	2	2	4	3	3	2	3	4	3	2	2	5	4	3	1	5	5	4	4	2	2	5	4	5	5	5	3	2	2	3	3	2	4	4	3	2	3	4	2	2	5	5	3	2	3	2	2	5	3	1	2	2	3	3
"163"	3	2	4	5	5	5	4	5	3	4	1	1	2	2	5	4	4	1	5	1	3	4	1	3	4	3	2	5	3	1	3	2	4	3	4	3	2	5	3	4	4	3	4	4	2	3	3	2	4	2	2	4	2	3
"164"	2	3	1	2	5	5	2	3	5	1	2	4	5	3	1	5	5	1	5	2	2	4	4	4	5	4	3	5	4	1	1	3	3	5	5	3	3	3	2	3	5	2	3	3	1	2	2	4	3	1	1	2	4	3
"165"	4	2	1	2	4	1	4	4	3	2	4	4	4	2	4	3	5	2	5	2	2	5	3	3	4	2	4	2	3	2	4	2	4	5	5	3	4	2	4	4	4	4	2	4	4	4	3	3	3	1	5	5	4	5
"166"	5	5	5	5	4	4	4	4	4	3	4	2	1	3	5	5	4	3	4	2	3	3	4	1	2	4	2	5	3	3	4	3	5	2	4	5	2	1	4	4	2	5	4	4	2	4	3	5	3	1	5	3	5	1
"167"	3	5	3	5	4	2	4	4	4	3	4	2	5	4	4	4	2	3	3	1	2	2	3	3	2	3	2	3	3	1	3	2	3	5	3	3	4	3	2	4	4	4	4	5	2	4	3	5	3	3	1	4	4	4
"168"	2	2	2	1	2	1	2	2	1	3	2	2	5	3	2	3	3	2	4	3	1	5	4	4	3	3	5	2	2	2	1	1	1	3	2	3	2	4	2	3	3	3	5	3	2	1	1	2	2	1	5	2	2	3
"169"	5	1	1	1	5	1	5	5	3	2	5	3	1	1	5	5	5	1	3	1	1	5	5	5	5	1	5	1	5	4	3	4	5	5	5	3	4	4	5	5	5	5	5	5	2	2	1	3	3	5	5	1	3	2
"170"	1	3	5	3	4	1	2	4	5	3	3	4	5	2	5	2	5	3	3	4	3	4	5	4	5	3	3	1	3	1	3	3	4	4	3	2	1	1	2	4	3	2	2	3	3	2	3	2	3	2	4	4	3	5
"171"	5	2	5	3	2	2	3	3	3	5	5	3	1	2	5	5	4	4	5	3	2	3	3	4	4	4	3	3	3	2	4	3	5	4	3	4	5	3	5	2	2	3	2	4	1	4	4	3	3	3	2	4	4	3
"172"	5	1	1	1	5	1	5	5	3	2	5	2	1	1	5	5	5	1	2	1	1	5	5	4	5	1	5	1	5	5	3	5	5	5	5	3	4	5	5	5	5	5	5	5	2	2	1	3	3	5	5	1	3	2
"173"	5	5	3	5	5	1	5	5	1	3	4	1	5	4	4	5	3	1	4	2	2	3	5	5	5	5	3	3	3	3	1	3	3	3	4	2	4	2	3	1	4	3	5	3	4	3	2	3	3	3	3	2	4	3
"174"	5	2	2	5	5	1	5	4	1	3	5	1	1	5	1	5	4	1	4	2	4	5	5	4	4	3	4	2	3	1	2	3	4	4	3	2	4	1	5	4	2	4	4	4	2	3	4	4	4	2	2	5	4	3
"175"	3	4	3	1	1	5	5	5	5	3	3	4	3	2	4	4	4	3	5	3	4	5	4	3	4	5	4	5	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
"176"	3	1	5	1	2	1	1	5	5	3	5	3	1	5	1	5	5	3	1	1	1	4	5	3	5	5	4	1	4	1	1	3	5	5	3	3	3	3	1	5	5	3	4	3	3	3	3	5	2	3	5	5	3	5
"177"	3	3	2	5	2	1	3	4	1	5	4	1	4	2	4	3	4	1	4	1	2	1	3	2	5	2	2	2	4	2	3	4	4	2	3	4	2	2	4	5	2	2	2	4	2	4	5	4	3	4	2	5	4	3
"178"	2	4	5	3	3	3	4	4	2	4	4	2	1	4	4	4	3	2	4	1	4	4	4	3	2	5	3	3	3	1	3	3	1	3	4	1	2	3	5	3	4	2	3	3	1	3	3	1	3	4	3	3	3	3
"179"	2	2	2	2	3	1	3	3	1	3	3	3	1	3	1	4	2	1	3	3	3	4	4	3	3	3	2	2	3	1	3	2	3	3	4	3	3	5	2	2	2	3	4	4	4	3	2	3	3	3	3	3	3	3
"180"	2	2	2	3	5	2	5	4	2	3	2	3	4	3	4	4	5	3	5	3	2	2	5	2	2	5	1	3	3	3	1	5	5	1	5	1	1	2	5	5	2	4	5	4	4	3	5	3	4	3	4	5	3	4
"181"	3	1	3	3	4	1	5	4	3	3	3	1	5	1	5	5	5	1	5	1	1	1	5	3	4	1	1	1	3	1	3	1	5	3	2	3	3	1	3	5	3	5	1	5	1	4	3	3	3	1	5	2	2	1
"182"	3	2	4	2	3	1	3	4	2	5	4	1	2	3	1	2	5	1	5	2	1	5	4	2	3	2	2	5	4	2	4	3	4	1	3	2	1	4	3	3	2	3	3	3	2	4	5	5	3	5	5	5	4	1
"183"	2	2	5	5	3	3	3	4	4	3	2	2	2	4	5	3	4	2	4	1	3	5	5	2	3	3	2	5	4	1	3	3	4	3	4	2	3	1	5	5	2	3	5	5	2	4	4	3	3	2	4	3	4	3
"184"	5	4	5	3	5	4	4	4	3	5	3	1	1	3	5	3	3	1	3	2	3	4	4	2	5	3	2	1	4	2	5	4	5	2	5	4	3	3	3	3	1	3	3	4	2	5	4	3	4	5	2	4	2	2
"185"	2	1	3	3	2	1	4	2	3	1	5	5	1	2	1	4	3	2	2	2	1	5	3	5	2	3	4	1	2	1	2	2	3	3	3	2	2	4	1	1	2	2	3	4	4	2	1	3	2	2	5	2	3	4
"186"	2	3	4	2	2	1	5	5	1	3	3	1	1	2	5	3	4	1	5	2	5	5	5	2	2	4	3	5	2	1	5	4	4	3	3	3	3	4	5	3	3	2	4	5	5	4	5	1	3	5	5	3	3	2
"187"	4	4	4	2	4	1	4	4	2	4	2	1	4	2	2	4	3	1	4	3	4	1	4	2	4	4	2	5	3	2	3	2	2	4	4	3	2	3	4	2	5	3	3	3	4	4	3	3	3	4	2	4	3	3
"188"	4	3	3	3	4	1	4	4	1	2	4	5	5	4	4	5	2	1	5	4	1	4	5	5	2	1	5	2	1	1	1	1	1	5	2	1	1	2	1	5	5	4	4	5	5	1	1	5	1	2	4	1	3	3
"189"	1	1	5	5	5	1	2	4	1	3	2	2	2	4	3	3	4	4	2	1	4	3	4	2	5	3	1	5	3	2	2	3	3	4	3	1	1	3	5	5	5	1	5	5	2	4	4	3	3	2	4	1	4	1
"190"	2	2	3	4	3	2	4	4	3	4	2	2	4	4	2	4	4	1	4	2	2	3	1	4	5	3	3	3	4	2	2	3	2	3	2	1	3	4	3	2	3	3	5	4	3	3	4	4	3	2	3	4	3	4
"191"	3	3	3	3	5	1	3	4	3	3	4	2	2	5	3	4	4	4	4	1	2	3	4	4	4	5	3	1	3	1	3	3	4	4	4	3	3	4	3	2	3	4	4	2	4	3	3	4	3	3	4	4	4	4
"192"	3	1	2	5	5	1	4	1	2	5	5	4	3	3	5	4	5	1	1	1	1	3	5	2	5	5	1	5	4	2	5	3	4	2	4	4	5	3	5	5	5	5	1	5	5	5	4	3	3	3	5	5	5	5
"193"	3	2	1	2	3	3	2	3	4	3	3	1	5	2	1	4	4	1	4	4	4	5	4	5	5	3	5	2	3	3	4	2	3	5	4	4	3	3	5	5	5	4	4	4	4	3	2	3	3	3	5	4	3	2
"194"	3	3	5	4	4	3	4	4	2	4	4	2	1	3	4	3	3	2	3	1	4	4	4	3	2	4	3	3	3	2	3	2	2	3	4	2	3	3	4	3	3	2	3	3	1	3	3	2	3	3	3	3	3	2
"195"	3	3	2	4	3	2	4	5	4	3	3	3	1	3	4	5	4	1	5	2	3	5	5	3	5	3	3	3	4	1	5	3	3	2	4	3	3	3	3	4	2	5	2	3	3	4	4	4	3	4	5	5	4	2
"196"	3	2	1	2	4	1	2	5	1	2	4	2	3	3	3	4	4	3	4	1	4	4	4	3	5	3	4	2	3	2	4	2	3	4	4	3	3	3	3	3	4	5	3	3	3	5	3	2	4	2	4	3	3	2
"197"	4	4	2	3	3	3	4	4	2	4	3	1	3	2	1	3	4	1	5	2	3	4	5	2	5	4	2	1	3	2	5	3	3	4	4	4	3	1	4	4	3	4	4	4	5	4	4	3	4	5	4	5	3	3
"198"	2	2	2	3	3	1	2	4	4	4	3	1	4	5	5	4	4	4	5	1	3	5	3	3	5	5	4	3	3	1	3	3	3	4	5	5	4	4	5	3	4	5	4	3	4	3	4	3	3	1	5	4	4	3
"199"	3	1	1	3	1	1	4	4	5	5	5	2	5	1	5	1	4	1	4	3	1	2	3	1	5	1	2	1	3	1	5	3	4	5	4	4	2	3	4	5	5	3	1	2	1	4	5	5	4	1	1	4	2	2
"200"	3	2	4	2	3	1	3	4	3	2	3	4	2	2	2	2	4	2	3	3	3	3	2	3	5	3	3	1	3	1	3	4	4	3	3	3	3	2	3	3	2	2	3	3	3	4	3	3	4	3	4	4	2	2
"201"	2	2	2	3	4	5	3	4	2	1	2	4	5	5	5	5	4	1	5	2	1	3	3	5	2	2	5	2	3	2	1	2	2	2	2	1	2	5	3	1	3	2	4	3	3	2	1	1	3	2	5	1	2	3
"202"	4	2	5	3	5	3	3	3	2	5	1	1	5	3	1	3	5	5	5	3	5	5	4	3	5	5	2	3	3	3	5	3	2	5	3	3	3	3	3	4	5	4	3	4	5	4	4	2	3	4	3	3	4	4
"203"	3	3	1	2	5	3	3	4	5	5	3	1	5	4	1	4	4	3	4	2	4	5	5	3	5	3	1	1	4	4	4	2	5	4	5	3	2	4	3	4	3	3	2	4	1	4	4	4	4	2	4	3	2	3
"204"	2	3	4	2	2	2	4	4	3	2	3	2	3	3	1	3	4	1	5	4	3	1	5	3	5	2	3	4	3	2	3	2	3	3	3	3	3	3	5	2	2	3	5	3	5	4	4	3	3	2	3	3	3	2
"205"	2	2	5	2	5	1	4	4	3	2	2	1	1	5	3	5	4	3	1	5	1	4	5	3	3	3	1	1	3	1	3	4	2	4	3	2	3	4	2	3	4	2	5	1	3	4	2	2	3	3	5	2	3	2
"206"	2	2	5	3	4	5	5	5	3	5	1	1	1	4	4	5	4	4	5	1	1	4	5	3	3	3	2	4	3	4	3	2	2	3	2	2	3	1	4	2	2	1	5	3	4	4	2	2	3	4	4	5	4	5
"207"	5	5	3	3	3	5	5	5	4	5	3	2	5	3	5	3	4	3	5	3	1	5	5	3	2	3	3	3	3	4	4	3	3	3	3	4	2	3	2	5	3	3	1	4	2	3	5	3	3	3	3	3	2	3
"208"	5	5	5	4	3	3	4	3	1	3	3	2	3	2	1	5	2	1	5	2	5	5	5	4	2	4	5	1	3	3	2	2	3	3	4	2	3	4	5	2	4	4	2	3	5	3	4	1	3	4	1	4	4	2
"209"	3	1	4	3	3	2	4	4	1	5	5	2	1	3	5	4	5	5	5	1	3	5	4	3	5	3	2	3	4	1	5	2	3	3	5	4	3	3	3	2	3	4	3	3	3	4	3	3	4	4	4	4	3	4
"210"	5	3	1	4	4	2	4	5	1	5	2	1	1	4	5	4	4	1	5	2	4	4	5	4	2	4	3	2	4	2	1	3	2	2	3	2	2	5	4	4	2	3	5	4	4	2	3	2	4	4	2	2	2	4
"211"	4	3	4	3	4	3	3	5	4	4	5	4	4	5	4	5	4	5	4	5	4	5	4	3	3	5	4	5	4	4	4	3	4	5	3	4	4	3	5	4	5	3	5	3	4	3	5	4	5	4	5	4	5	3
"212"	5	3	5	3	3	5	5	5	3	5	5	1	5	3	5	5	5	3	5	1	2	1	2	3	3	3	5	4	1	1	5	2	4	3	5	4	4	4	3	5	5	5	2	1	3	4	4	2	4	3	4	4	4	1
"213"	2	3	2	3	5	1	5	5	5	5	5	2	1	3	5	5	5	1	1	1	1	2	5	2	1	1	3	3	3	3	5	5	5	2	5	5	4	1	3	5	1	4	3	1	1	3	2	2	4	3	4	5	3	3
"214"	3	4	5	5	5	5	5	5	3	5	3	2	1	4	5	5	5	1	5	3	1	5	5	4	1	3	2	5	3	2	3	4	2	3	4	2	2	3	3	5	2	4	5	3	1	4	3	2	3	3	1	2	4	3
"215"	4	4	3	2	4	3	3	3	2	4	4	2	2	3	1	4	5	2	3	2	2	4	4	4	4	3	2	5	3	3	3	3	3	3	3	2	3	3	5	3	4	3	4	3	5	3	3	3	3	4	4	3	3	4
"216"	3	1	1	1	3	1	3	4	3	5	5	2	2	3	1	3	3	1	3	3	3	3	1	2	5	3	3	3	3	1	3	3	3	2	3	3	4	3	5	5	4	5	3	3	1	4	5	1	4	1	3	5	3	1
"217"	2	3	3	4	3	1	3	3	1	3	2	2	4	3	3	2	5	1	4	2	1	4	4	3	2	3	3	1	4	1	4	2	4	4	4	3	3	4	3	2	3	4	2	3	4	3	4	3	4	1	2	3	3	3
"218"	2	5	5	4	3	3	3	4	3	4	4	2	1	3	3	5	5	2	5	5	3	5	5	3	1	3	4	5	3	1	3	2	3	4	3	2	2	4	3	3	2	4	4	3	4	4	4	3	3	2	2	2	1	5
"219"	5	3	1	3	1	2	4	4	2	3	4	2	5	3	4	1	4	1	2	4	1	4	5	4	5	4	2	5	4	1	2	2	4	2	4	5	4	4	2	2	1	5	4	5	1	4	5	5	3	1	5	2	4	2
"220"	5	3	5	3	5	1	5	5	3	3	5	3	1	3	3	5	5	1	3	3	3	4	5	2	5	3	5	1	3	3	5	3	5	3	5	5	3	3	3	3	1	5	5	5	1	3	5	3	3	3	3	5	5	3
"221"	2	2	2	1	2	2	3	5	2	4	4	2	5	4	4	2	4	1	4	2	3	5	5	2	5	3	1	2	3	1	4	2	4	3	3	4	3	4	3	3	2	4	5	3	1	5	4	3	4	3	4	5	4	3
"222"	3	4	3	5	4	1	5	3	5	5	5	1	3	1	5	1	5	1	5	4	5	5	5	2	5	2	1	1	3	2	5	5	5	2	3	4	3	1	5	5	2	3	5	5	1	5	3	4	3	2	2	4	2	3
"223"	4	1	4	2	5	3	4	4	1	3	2	2	5	5	4	5	3	1	4	2	1	4	4	5	4	4	2	1	4	1	1	2	1	5	4	3	4	5	2	3	4	4	5	5	5	4	1	1	3	2	4	1	4	3
"224"	3	2	3	5	5	3	3	5	3	5	4	2	5	5	2	4	5	1	4	3	5	5	5	2	5	4	2	5	2	3	5	1	3	3	5	3	3	4	4	5	3	4	4	5	3	3	3	3	3	3	5	5	2	2
"225"	2	1	5	2	2	1	3	5	3	4	5	2	5	5	5	5	4	3	3	3	3	5	5	4	5	3	5	3	3	2	2	2	3	4	4	2	2	3	2	4	4	4	4	5	3	3	3	2	3	1	5	3	2	3
"226"	3	3	4	4	2	3	3	2	4	4	4	2	1	4	5	5	4	1	3	2	3	4	4	3	5	3	3	3	4	3	3	2	3	2	3	3	2	5	3	3	2	2	4	4	1	4	4	2	3	3	4	3	3	3
"227"	3	4	3	3	5	5	5	5	1	5	3	1	1	1	5	5	5	5	5	1	5	5	5	5	4	3	5	5	3	3	1	1	3	5	3	3	1	1	5	3	3	4	5	5	3	2	3	3	3	5	5	4	4	3
"228"	2	1	1	1	2	4	3	4	1	5	3	2	1	5	3	4	5	1	4	3	2	3	2	1	2	3	3	4	3	1	2	3	3	3	3	3	3	4	3	5	2	1	5	5	2	4	3	3	3	5	4	2	2	3
"229"	3	3	4	3	3	3	4	4	3	4	3	2	1	5	5	5	5	1	5	2	2	3	3	3	3	3	3	4	3	2	3	3	3	3	3	4	2	3	4	3	3	2	3	4	2	2	3	3	3	3	2	4	4	3
"230"	2	1	2	1	3	3	3	5	2	4	3	3	3	3	4	4	4	1	5	5	3	3	4	2	5	2	2	5	3	1	4	3	4	2	4	4	3	4	4	4	1	3	4	3	2	5	4	3	3	1	3	4	4	2
"231"	4	3	4	3	3	2	4	4	4	4	2	2	4	2	5	4	4	2	5	2	2	4	3	2	5	4	5	5	3	2	4	3	4	4	5	4	2	2	2	4	3	4	3	2	3	4	5	4	4	2	5	5	4	3
"232"	5	4	5	4	4	5	5	5	4	5	5	1	4	3	1	3	5	3	5	5	5	4	5	3	1	5	1	3	4	2	5	1	5	5	5	1	2	1	5	5	1	5	5	5	5	4	4	2	3	3	5	5	4	5
"233"	2	1	5	5	4	5	5	5	1	4	5	2	3	4	5	5	4	4	5	5	5	4	5	5	5	5	5	3	3	1	2	3	2	5	4	1	1	1	1	1	2	3	5	5	2	3	1	1	1	5	5	3	3	1
"234"	2	2	2	3	4	4	4	3	1	4	2	3	4	5	1	4	4	2	4	2	4	5	4	2	5	4	2	3	2	2	3	3	1	3	4	1	4	3	4	3	3	4	4	4	4	5	4	2	3	2	4	3	3	3
"235"	2	3	1	4	5	1	4	4	2	3	3	3	2	5	1	5	4	3	1	1	3	4	4	4	2	3	4	1	4	1	2	1	4	5	2	4	5	3	4	4	5	4	4	2	2	5	3	4	3	2	2	2	4	4
"236"	1	2	1	2	3	4	2	3	4	5	1	5	1	5	5	5	3	1	3	1	3	4	4	3	5	2	2	5	4	1	3	3	5	3	5	4	3	3	5	3	2	4	3	3	2	4	4	4	3	3	3	2	3	2
