"id"	"Age"	"Gender"	"Only.child"	"Education"
"634"	21	"male"	"no"	"secondary school"
"635"	19	"female"	"no"	"secondary school"
"636"	25	"female"	"no"	"masters degree"
"637"	24	"male"	"no"	"doctorate degree"
"638"	29	"male"	"no"	"masters degree"
"639"	21	"female"	"no"	"secondary school"
"640"	18	"male"	"no"	"primary school"
"641"	21	"female"	"no"	"college/bachelor degree"
"642"	17	"male"	"no"	"secondary school"
"643"	22	"male"	"yes"	"secondary school"
"644"	18	"female"	"no"	"secondary school"
"645"	18	"female"	"no"	"primary school"
"646"	23	"male"	"yes"	"secondary school"
"647"	22	"male"	"no"	"secondary school"
"648"	21	"female"	"yes"	"secondary school"
"649"	23	"female"	"no"	"masters degree"
"650"	17	"female"	"no"	"currently a primary school pupil"
"651"	20	"male"	"no"	"secondary school"
"652"	22	"male"	"no"	"secondary school"
"653"	21	"male"	"yes"	"secondary school"
"654"	22	"female"	"yes"	"college/bachelor degree"
"655"	24	"male"	"no"	"secondary school"
"656"	19	"female"	"no"	"secondary school"
"657"	18	"female"	"no"	"secondary school"
"658"	24	"female"	"yes"	"college/bachelor degree"
"659"	22	"male"	"no"	"secondary school"
"660"	20	"male"	"no"	"secondary school"
"661"	20	"female"	"no"	"college/bachelor degree"
"662"	19	"female"	"yes"	"secondary school"
"663"	21	"female"	"no"	"secondary school"
"664"	25	"male"	"no"	"masters degree"
"665"	28	"female"	"no"	"masters degree"
"666"	20	"female"	"no"	"secondary school"
"667"	20	"female"	"no"	"secondary school"
"668"	23	"male"	"no"	"secondary school"
"669"	27	"male"	"yes"	"doctorate degree"
"670"	21	"male"	"yes"	"college/bachelor degree"
"671"	23	"female"	"no"	"secondary school"
"672"	22	"female"	"no"	"college/bachelor degree"
"673"	28	"female"	"no"	"masters degree"
"674"	22	"female"	"no"	"secondary school"
"675"	18	"male"	"no"	"college/bachelor degree"
"676"	25	"female"	"no"	"secondary school"
"677"	20	"female"	"no"	"college/bachelor degree"
"678"	28	"female"	"no"	"secondary school"
"679"	23	"female"	"no"	"college/bachelor degree"
"680"	21	"female"	"yes"	"secondary school"
"681"	25	"female"	"no"	"college/bachelor degree"
"682"	28	"female"	"no"	"masters degree"
"683"	19	"male"	"no"	"secondary school"
"684"	30	"female"	"yes"	"secondary school"
"685"	28	"female"	"no"	"secondary school"
"686"	19	"female"	"yes"	"secondary school"
"687"	21	"male"	"yes"	"college/bachelor degree"
"688"	19	"male"	"no"	"college/bachelor degree"
"689"	18	"female"	"no"	"secondary school"
"690"	18	"male"	"no"	"secondary school"
"691"	18	"male"	"no"	"secondary school"
"692"	17	"female"	"yes"	"college/bachelor degree"
"693"	21	"male"	"yes"	"college/bachelor degree"
"694"	18	"female"	"yes"	"secondary school"
"695"	21	"male"	"no"	"college/bachelor degree"
"696"	23	"female"	"yes"	"college/bachelor degree"
"697"	18	"female"	"yes"	"primary school"
"698"	20	"female"	"no"	"secondary school"
"699"	19	"female"	"yes"	"secondary school"
"700"	20	"female"	"no"	"secondary school"
"701"	26	"female"	"no"	"college/bachelor degree"
"702"	21	"female"	"no"	"college/bachelor degree"
"703"	19	"male"	"no"	"secondary school"
"704"	23	"male"	"no"	"secondary school"
"705"	21	"female"	"no"	"secondary school"
"706"	22	"female"	"no"	"college/bachelor degree"
"707"	18	"male"	"yes"	"secondary school"
"708"	21	"female"	"no"	"secondary school"
"709"	23	"male"	"no"	"secondary school"
"710"	17	"female"	"yes"	"college/bachelor degree"
"711"	20	"female"	"no"	"secondary school"
"712"	22	"female"	"no"	"secondary school"
"713"	20	"female"	"no"	"secondary school"
"714"	19	"female"	"no"	"college/bachelor degree"
"715"	25	"female"	"yes"	"masters degree"
"716"	29	"male"	"no"	"secondary school"
"717"	29	"male"	"no"	"secondary school"
"718"	17	"female"	"no"	"primary school"
"719"	17	"female"	"no"	"secondary school"
"720"	19	"male"	"no"	"secondary school"
"721"	18	"female"	"no"	"secondary school"
"722"	20	"female"	"no"	"college/bachelor degree"
"723"	21	"female"	"yes"	"college/bachelor degree"
"724"	18	"female"	"no"	"secondary school"
"725"	19	"female"	"no"	"primary school"
"726"	19	"male"	"yes"	"secondary school"
"727"	20	"male"	"no"	"secondary school"
"728"	19	"male"	"yes"	"secondary school"
"729"	18	"female"	"no"	"primary school"
"730"	18	"male"	"no"	"secondary school"
"731"	16	"female"	"no"	"primary school"
"732"	18	"female"	"no"	"college/bachelor degree"
"733"	19	"female"	"yes"	"secondary school"
"734"	24	"female"	"no"	"college/bachelor degree"
"735"	19	"female"	"no"	"secondary school"
"736"	20	"female"	"no"	"masters degree"
"737"	20	"female"	"no"	"college/bachelor degree"
"738"	21	"female"	"yes"	"college/bachelor degree"
"739"	23	"male"	"no"	"college/bachelor degree"
"740"	23	"male"	"yes"	"college/bachelor degree"
"741"	17	"male"	"no"	"secondary school"
"742"	18	"female"	"no"	"secondary school"
"743"	26	"male"	"no"	"masters degree"
"744"	22	"male"	"yes"	"college/bachelor degree"
"745"	22	"male"	"no"	"secondary school"
"746"	25	"male"	"no"	"college/bachelor degree"
"747"	21	"female"	"no"	"secondary school"
"748"	18	"female"	"no"	"secondary school"
"749"	15	"female"	"no"	"currently a primary school pupil"
"750"	17	"male"	"yes"	"secondary school"
"751"	22	"female"	"no"	"college/bachelor degree"
"752"	21	"female"	"no"	"secondary school"
"753"	21	"female"	"no"	"college/bachelor degree"
"754"	19	"female"	"no"	"secondary school"
"755"	26	"male"	"yes"	"college/bachelor degree"
"756"	26	"female"	"no"	"masters degree"
"757"	25	"male"	"no"	"secondary school"
"758"	19	"female"	"no"	"college/bachelor degree"
"759"	20	"male"	"no"	"college/bachelor degree"
"760"	18	"male"	"yes"	"secondary school"
"761"	25	"female"	"yes"	"college/bachelor degree"
"762"	23	"male"	"no"	"secondary school"
"763"	24	"male"	"yes"	"college/bachelor degree"
"764"	20	"male"	"no"	"college/bachelor degree"
"765"	19	"female"	"no"	"college/bachelor degree"
"766"	18	"male"	"no"	"secondary school"
"767"	25	"female"	"no"	"secondary school"
"768"	22	"male"	"no"	"masters degree"
"769"	26	"male"	"no"	"masters degree"
"770"	19	"female"	"yes"	"secondary school"
"771"	16	"female"	"no"	"college/bachelor degree"
"772"	18	"male"	"yes"	"secondary school"
"773"	20	"female"	"no"	"secondary school"
"774"	17	"female"	"yes"	"college/bachelor degree"
"775"	20	"female"	"yes"	"secondary school"
"776"	19	"female"	"no"	"college/bachelor degree"
"777"	25	"male"	"no"	"masters degree"
"778"	19	"male"	"no"	"secondary school"
"779"	18	"female"	"yes"	"secondary school"
"780"	17	"female"	"yes"	"secondary school"
"781"	18	"male"	"no"	"secondary school"
"782"	20	"female"	"no"	"secondary school"
"783"	17	"female"	"no"	"secondary school"
"784"	21	"male"	"no"	"secondary school"
"785"	19	"male"	"no"	"secondary school"
"786"	19	"male"	"yes"	"college/bachelor degree"
"787"	19	"male"	"yes"	"secondary school"
"788"	16	"male"	"no"	"primary school"
"789"	18	"female"	"no"	"primary school"
"790"	19	"male"	"no"	"college/bachelor degree"
"791"	20	"female"	"yes"	"secondary school"
"792"	19	"female"	"no"	"secondary school"
"793"	21	"male"	"no"	"masters degree"
"794"	24	"male"	"no"	"doctorate degree"
"795"	23	"male"	"no"	"secondary school"
"796"	30	"female"	"yes"	"secondary school"
"797"	27	"male"	"no"	"doctorate degree"
"798"	19	"male"	"no"	"secondary school"
"799"	18	"female"	"no"	"secondary school"
"800"	18	"male"	"yes"	"secondary school"
"801"	17	"male"	"no"	"secondary school"
"802"	30	"female"	"no"	"secondary school"
"803"	19	"female"	"yes"	"secondary school"
"804"	27	"female"	"no"	"secondary school"
"805"	21	"female"	"no"	"secondary school"
"806"	17	"female"	"no"	"primary school"
"807"	20	"male"	"no"	"secondary school"
"808"	20	"male"	"yes"	"secondary school"
"809"	20	"male"	"no"	"college/bachelor degree"
"810"	18	"male"	"yes"	"secondary school"
"811"	20	"male"	"no"	"college/bachelor degree"
"812"	20	"male"	"no"	"secondary school"
"813"	17	"female"	"no"	"secondary school"
"814"	19	"male"	"no"	"secondary school"
"815"	20	"female"	"yes"	"secondary school"
"816"	20	"male"	"no"	"secondary school"
"817"	21	"male"	"yes"	"secondary school"
"818"	23	"male"	"yes"	"primary school"
"819"	24	"male"	"no"	"secondary school"
"820"	17	"female"	"yes"	"secondary school"
"821"	18	"female"	"no"	"secondary school"
"822"	17	"male"	"no"	"secondary school"
"823"	19	"female"	"no"	"secondary school"
"824"	21	"male"	"yes"	"secondary school"
"825"	29	"female"	"no"	"college/bachelor degree"
"826"	21	"female"	"no"	"college/bachelor degree"
"827"	20	"female"	"no"	"secondary school"
"828"	20	"female"	"no"	"secondary school"
"829"	19	"male"	"no"	"college/bachelor degree"
"830"	20	"female"	"yes"	"college/bachelor degree"
"831"	21	"female"	"no"	"secondary school"
"832"	17	"female"	"no"	""
"833"	20	"female"	"yes"	"secondary school"
"834"	19	"male"	"yes"	"secondary school"
"835"	21	"male"	"no"	"secondary school"
"836"	19	"male"	"yes"	"secondary school"
"837"	19	"male"	"yes"	"secondary school"
"838"	20	"male"	"no"	"secondary school"
"839"	21	"female"	"yes"	"college/bachelor degree"
"840"	23	"female"	"no"	"masters degree"
"841"	24	"female"	"no"	"college/bachelor degree"
"842"	19	"male"	"no"	"secondary school"
"843"	24	"female"	"yes"	"college/bachelor degree"
"844"	20	"female"	"no"	"secondary school"
"845"	30	"male"	"no"	"masters degree"
"846"	20	"female"	"yes"	"secondary school"
"847"	23	"female"	"no"	"secondary school"
"848"	19	"female"	"no"	"secondary school"
"849"	19	"male"	"no"	"college/bachelor degree"
"850"	22	"female"	"no"	"college/bachelor degree"
"851"	17	"female"	"yes"	"secondary school"
"852"	20	"male"	"no"	"college/bachelor degree"
"853"	19	"male"	"no"	"secondary school"
"854"	30	"female"	"no"	"masters degree"
"855"	27	"male"	"yes"	"college/bachelor degree"
"856"	19	"male"	"no"	"college/bachelor degree"
"857"	17	"female"	"no"	"secondary school"
"858"	20	"male"	"no"	"secondary school"
"859"	20	"male"	"no"	"secondary school"
"860"	20	"male"	"no"	"secondary school"
"861"	20	"male"	"no"	"secondary school"
"862"	18	"female"	"no"	"secondary school"
"863"	21	"male"	"no"	"college/bachelor degree"
"864"	21	"male"	"no"	"secondary school"
"865"	20	"male"	"no"	"secondary school"
"866"	17	"female"	"no"	"secondary school"
"867"	23	"male"	"no"	"college/bachelor degree"
"868"	25	"female"	"no"	"masters degree"
"869"	18	"male"	"yes"	"secondary school"
"870"	18	"female"	"no"	"secondary school"
"871"	25	"female"	"no"	"masters degree"
"872"	21	"male"	"no"	"college/bachelor degree"
"873"	20	"male"	"no"	"secondary school"
"874"	21	"male"	"yes"	"secondary school"
"875"	18	"female"	"no"	"secondary school"
"876"	20	"female"	"no"	"secondary school"
"877"	19	"male"	"yes"	"secondary school"
"878"	22	"male"	"no"	"secondary school"
"879"	26	"male"	"yes"	"secondary school"
"880"	23	"male"	"yes"	"secondary school"
"881"	18	"female"	"no"	"secondary school"
"882"	18	"female"	"no"	"secondary school"
"883"	16	"female"	"no"	"primary school"
"884"	19	"female"	"no"	"secondary school"
"885"	19	"female"	"no"	"college/bachelor degree"
"886"	23	"female"	"yes"	"secondary school"
"887"	21	"male"	"no"	"secondary school"
"888"	19	"male"	"yes"	"secondary school"
"889"	20	"female"	"no"	"college/bachelor degree"
"890"	22	"female"	"no"	"college/bachelor degree"
"891"	20	"male"	"no"	"secondary school"
"892"	21	"male"	"no"	"secondary school"
"893"	19	"male"	"yes"	"secondary school"
"894"	17	"female"	"yes"	"primary school"
"895"	19	"female"	"no"	"secondary school"
"896"	16	"male"	"yes"	"secondary school"
"897"	22	"male"	"no"	"college/bachelor degree"
"898"	23	"male"	"no"	"college/bachelor degree"
"899"	28	"female"	"no"	"masters degree"
"900"	20	"male"	"no"	"secondary school"
"901"	21	"male"	"no"	"secondary school"
"902"	22	"female"	"no"	"secondary school"
"903"	20	"male"	"no"	"masters degree"
"904"	19	"male"	"no"	"college/bachelor degree"
"905"	24	"female"	"no"	"college/bachelor degree"
"906"	23	"male"	"no"	"college/bachelor degree"
"907"	21	"female"	"no"	"secondary school"
"908"	22	"female"	"no"	"secondary school"
"909"	18	"male"	"no"	"secondary school"
"910"	28	"female"	"no"	"masters degree"
"911"	18	"female"	"yes"	"secondary school"
"912"	23	"female"	"no"	"college/bachelor degree"
"913"	22	"female"	"yes"	"secondary school"
"914"	21	"female"	"yes"	"secondary school"
"915"	20	"female"	"no"	"secondary school"
"916"	18	"female"	"no"	"primary school"
"917"	21	"male"	"no"	"secondary school"
"918"	20	"male"	"no"	"college/bachelor degree"
"919"	21	"female"	"no"	"secondary school"
"920"	21	"female"	"no"	"secondary school"
"921"	20	"female"	"no"	"secondary school"
"922"	17	"male"	"yes"	"primary school"
"923"	20	"female"	"no"	"secondary school"
"924"	23	"female"	"no"	"college/bachelor degree"
"925"	19	"female"	"yes"	"secondary school"
"926"	20	"female"	"no"	"secondary school"
"927"	22	"male"	"no"	"secondary school"
"928"	19	"female"	"no"	"secondary school"
"929"	19	"female"	"yes"	"secondary school"
"930"	27	"female"	"yes"	"college/bachelor degree"
"931"	18	"female"	"no"	"primary school"
"932"	18	"male"	"no"	"secondary school"
"933"	20	"female"	"no"	"secondary school"
"934"	17	"female"	"no"	"secondary school"
"935"	19	""	"yes"	"primary school"
"936"	16	"female"	"no"	"secondary school"
"937"	21	"female"	"yes"	"secondary school"
"938"	18	"female"	"yes"	"primary school"
"939"	19	"female"	"yes"	"secondary school"
"940"	20	"female"	"yes"	"secondary school"
"941"	16	"male"	"no"	"primary school"
"942"	18	"female"	"no"	"primary school"
"943"	24	"male"	"yes"	"college/bachelor degree"
"944"	22	"female"	"no"	"secondary school"
"945"	19	"female"	"no"	"secondary school"
"946"	22	"male"	"no"	"secondary school"
"947"	22	"male"	"yes"	"secondary school"
"948"	16	"female"	"yes"	"secondary school"
"949"	18	"female"	"no"	"secondary school"
"950"	18	"female"	"no"	"secondary school"
"951"	15	"male"	"yes"	"currently a primary school pupil"
"952"	26	"male"	"no"	"masters degree"
"953"	19	"male"	"yes"	"secondary school"
"954"	20	"female"	"no"	"secondary school"
"955"	20	"female"	"no"	"secondary school"
"956"	19	"female"	"no"	"secondary school"
"957"	20	"male"	"yes"	"secondary school"
"958"	20	"male"	"no"	"secondary school"
"959"	22	"female"	"no"	"college/bachelor degree"
"960"	24	"female"	"no"	"masters degree"
"961"	20	"female"	"no"	"masters degree"
"962"	20	"male"	"no"	"secondary school"
"963"	21	"female"	"no"	"secondary school"
"964"	23	"male"	"yes"	"secondary school"
"965"	21	"male"	"yes"	"college/bachelor degree"
"966"	17	"female"	"no"	"primary school"
"967"	19	"female"	"no"	"college/bachelor degree"
"968"	18	"male"	"no"	"primary school"
"969"	19	"male"	"no"	"secondary school"
"970"	19	"male"	"no"	"college/bachelor degree"
"971"	22	"male"	"no"	"masters degree"
"972"	18	"male"	"no"	"secondary school"
"973"	19	"female"	"yes"	"secondary school"
"974"	20	"female"	"no"	"secondary school"
"975"	21	"female"	"yes"	"secondary school"
"976"	23	"female"	"yes"	"secondary school"
"977"	19	"female"	"yes"	"secondary school"
"978"	19	"male"	"no"	"secondary school"
"979"	21	"female"	"no"	"college/bachelor degree"
"980"	19	"male"	"yes"	"secondary school"
"981"	18	"female"	"no"	"secondary school"
"982"	19	"female"	"no"	"secondary school"
"983"	18	"male"	"no"	"secondary school"
"984"	22	"female"	"no"	"secondary school"
"985"	21	"female"	"yes"	"secondary school"
"986"	20	"female"	"no"	"secondary school"
"987"	19	"female"	"no"	"secondary school"
"988"	20	"male"	"no"	"secondary school"
"989"	19	"male"	"yes"	"secondary school"
"990"	30	"female"	"no"	"masters degree"
"991"	29	"male"	"no"	"secondary school"
"992"	21	"male"	"yes"	"secondary school"
"993"	30	"male"	"no"	"masters degree"
"994"	21	"female"	"yes"	"secondary school"
"995"	20	"female"	"yes"	"secondary school"
"996"	18	"female"	"yes"	"secondary school"
"997"	20	"male"	"yes"	"secondary school"
"998"	19	"female"	"no"	"secondary school"
"999"	28	"male"	"no"	"masters degree"
"1000"	19	"male"	"no"	"secondary school"
"1001"	16	"female"	"no"	"primary school"
"1002"	18	"female"	"no"	"primary school"
"1003"	22	"male"	"no"	"secondary school"
"1004"	20	"female"	"no"	"secondary school"
"1005"	22	"male"	"no"	"secondary school"
"1006"	20	"female"	"no"	"secondary school"
"1007"	27	"male"	"no"	"masters degree"
"1008"	18	"female"	"yes"	"secondary school"
"1009"	25	"female"	"no"	"college/bachelor degree"
"1010"	21	"male"	"no"	"secondary school"
