"id"	"Flying"	"Storm"	"Darkness"	"Heights"	"Spiders"	"Snakes"	"Rats"	"Ageing"	"Dangerous.dogs"	"Fear.of.public.speaking"
"577"	1	1	1	2	4	1	1	1	1	2
"578"	3	3	4	3	5	5	5	2	5	2
"579"	3	3	1	1	4	5	2	4	5	4
"580"	4	2	2	4	2	4	1	2	3	4
"581"	1	1	1	1	1	2	1	1	1	1
"582"	2	2	3	3	5	5	3	4	5	4
"583"	2	2	2	2	4	4	2	3	3	2
"584"	2	1	4	2	1	1	1	1	2	2
"585"	3	1	1	3	3	3	3	3	3	4
"586"	5	4	3	3	3	5	3	4	5	3
"587"	1	3	1	5	3	1	1	3	5	2
"588"	2	3	3	1	3	3	1	1	2	2
"589"	1	2	2	1	5	5	4	2	5	3
"590"	1	5	3	1	5	1	1	2	1	1
"591"	2	2	1	2	1	1	1	3	4	2
"592"	5	1	5	1	1	4	2	3	3	3
"593"	1	1	2	5	1	5	5	3	3	2
"594"	2	2	2	3	2	1	1	1	2	2
"595"	3	2	2	2	1	3	2	5	5	1
"596"	2	1	1	5	1	1	1	1	3	5
"597"	1	1	1	1	1	1	1	2	2	4
"598"	3	1	2	2	1	4	4	3	4	5
"599"	1	1	2	4	4	3	2	5	3	4
"600"	3	1	2	4	2	2	2	3	3	3
"601"	3	3	4	2	5	3	1	1	3	2
"602"	3	4	4	3	3	5	4	2	5	2
"603"	1	1	1	2	3	2	2	1	2	1
"604"	2	3	4	4	3	4	4	4	2	2
"605"	2	3	5	4	5	5	3	3	5	5
"606"	1	1	1	1	5	5	1	3	2	4
"607"	4	1	2	2	1	1	1	2	3	2
"608"	3	2	3	3	2	2	1	1	4	2
"609"	3	4	2	4	2	5	2	4	2	3
"610"	3	1	1	1	1	1	1	1	2	1
"611"	3	1	2	3	5	2	2	4	3	4
"612"	1	4	4	3	4	4	3	2	3	3
"613"	1	3	3	3	3	3	3	3	3	1
"614"	4	2	4	4	5	5	4	3	2	4
"615"	5	3	1	5	1	5	1	5	1	1
"616"	2	1	1	2	1	1	1	1	3	1
"617"	1	1	1	1	1	1	1	1	1	1
"618"	3	1	1	4	1	1	3	2	3	1
"619"	1	1	1	1	3	1	1	1	1	3
"620"	1	1	2	2	3	5	2	4	3	1
"621"	1	1	1	1	3	3	1	2	2	4
"622"	4	1	1	3	5	1	2	5	4	5
"623"	5	2	3	2	2	4	1	4	1	1
"624"	1	1	2	4	1	5	2	2	4	2
"625"	3	1	4	1	5	2	1	2	1	4
"626"	1	3	3	3	5	5	5	1	4	1
"627"	3	4	4	5	2	2	4	3	2	3
"628"	4	4	3	3	3	4	4	5	5	5
"629"	1	1	1	1	1	1	1	3	1	4
"630"	1	3	2	1	3	5	2	1	2	2
"631"	3	3	3	5	5	4	4	1	5	5
"632"	3	1	1	2	4	2	2	3	5	1
"633"	1	1	2	2	1	1	1	4	3	4
"634"	1	1	1	4	1	3	1	1	3	1
"635"	1	1	2	1	4	3	2	2	3	2
"636"	2	2	2	3	3	3	3	4	4	4
"637"	2	3	3	3	3	1	1	3	1	1
"638"	1	1	2	2	1	3	2	3	4	1
"639"	2	1	2	5	3	3	2	4	4	3
"640"	3	1	2	5	3	2	1	3	3	4
"641"	1	3	1	2	5	5	5	3	5	3
"642"	2	2	3	4	2	2	2	5	2	3
"643"	1	2	2	5	1	1	1	3	5	4
"644"	1	2	4	1	2	2	2	1	2	2
"645"	1	2	2	1	4	2	1	2	3	2
"646"	1	3	1	2	1	2	1	2	4	3
"647"	1	1	1	2	2	1	1	1	2	2
"648"	3	3	5	5	3	5	5	1	5	3
"649"	3	4	4	3	4	4	4	4	5	3
"650"	1	2	2	2	5	2	1	1	1	3
"651"	2	1	1	2	2	2	4	4	3	3
"652"	1	1	1	2	1	3	1	2	3	2
"653"	3	1	2	3	4	4	4	2	4	3
"654"	1	1	3	3	2	3	4	1	2	2
"655"	2	2	2	3	4	5	5	3	3	2
"656"	3	2	4	3	4	4	4	3	5	4
"657"	5	2	2	2	5	5	5	3	5	3
"658"	1	4	5	3	4	5	5	4	3	2
"659"	1	1	1	1	1	1	1	1	2	1
"660"	1	1	3	3	1	1	1	5	4	5
"661"	3	3	5	4	2	5	5	5	5	5
"662"	1	2	2	3	2	2	3	4	3	3
"663"	1	3	3	3	4	5	3	1	4	5
"664"	2	2	2	2	2	2	2	2	2	2
"665"	1	3	5	4	2	5	5	4	4	2
"666"	1	1	1	2	3	1	1	3	4	4
"667"	1	1	2	1	2	1	1	2	1	3
"668"	1	1	2	2	2	2	1	1	1	4
"669"	1	3	3	4	2	1	1	4	1	2
"670"	4	2	2	2	2	2	2	2	2	4
"671"	1	1	1	1	1	1	1	1	1	2
"672"	2	2	5	5	2	3	5	5	4	3
"673"	1	3	2	1	5	5	3	5	5	4
"674"	3	1	1	3	4	3	1	3	3	2
"675"	1	1	1	2	1	3	3	3	2	3
"676"	4	5	3	2	4	3	3	2	5	4
"677"	1	2	2	2	3	3	4	3	3	3
"678"	1	1	1	2	1	1	1	1	3	5
"679"	1	1	1	1	3	1	3	3	1	5
"680"	3	1	2	1	1	2	3	3	5	5
"681"	1	3	2	1	5	3	1	1	1	3
"682"	3	2	4	4	5	4	1	1	1	4
"683"	3	1	1	2	2	5	3	2	4	3
"684"	5	4	2	3	3	4	5	3	5	3
"685"	4	4	4	3	3	3	5	1	3	4
"686"	2	3	2	4	4	4	3	1	2	4
"687"	3	3	3	3	3	3	3	3	3	3
"688"	5	1	2	2	5	2	2	3	4	1
"689"	1	2	1	1	5	5	5	3	5	3
"690"	2	1	2	3	1	4	2	1	2	3
"691"	1	1	3	3	4	5	4	1	5	4
"692"	1	2	2	2	5	5	4	3	3	4
"693"	2	3	3	3	1	1	1	3	2	3
"694"	2	3	2	3	2	3	4	3	5	4
"695"	2	2	1	1	3	5	2	1	2	1
"696"	2	4	3	3	5	3	2	1	1	3
"697"	3	1	1	1	1	1	1	1	1	1
"698"	1	3	3	2	5	5	5	1	4	5
"699"	5	3	3	3	2	4	4	5	5	4
"700"	3	2	2	2	2	4	3	3	2	3
"701"	1	3	3	3	2	5	5	3	5	1
"702"	1	1	1	1	3	1	1	2	1	2
"703"	1	1	2	2	4	4	4	1	3	1
"704"	1	1	1	1	1	2	1	1	3	2
"705"	1	1	4	1	5	4	2	3	4	3
"706"	1	4	1	1	1	5	1	1	1	3
"707"	3	1	1	2	1	1	1	3	1	5
"708"	1	1	1	2	1	2	3	5	3	4
"709"	4	1	1	5	1	3	1	1	1	2
"710"	1	2	2	2	1	1	2	3	2	4
"711"	3	1	1	2	2	1	1	5	2	1
"712"	3	2	4	5	2	5	4	1	4	3
"713"	1	2	3	3	5	4	3	1	3	3
"714"	1	4	3	4	5	3	3	4	3	1
"715"	1	4	4	4	4	4	4	1	4	5
"716"	1	2	2	2	2	1	1	1	2	2
"717"	1	1	2	3	3	1	1	1	3	3
"718"	1	1	1	2	3	4	1	1	3	3
"719"	3	3	2	1	5	1	1	3	3	2
"720"	1	2	2	2	2	2	2	2	3	3
"721"	1	1	3	1	1	2	1	1	5	5
"722"	1	1	1	1	3	1	1	1	1	1
"723"	3	3	5	3	2	4	4	2	4	3
"724"	2	3	4	5	5	5	4	5	5	3
"725"	1	2	2	1	5	3	1	2	2	2
"726"	1	1	1	4	1	1	1	3	1	4
"727"	1	1	1	4	3	3	1	3	4	1
"728"	3	1	1	5	3	5	5	2	3	3
"729"	1	1	3	1	5	5	5	5	3	1
"730"	1	1	2	4	2	4	2	1	3	4
"731"	1	3	2	2	2	5	3	3	2	1
"732"	1	2	1	1	1	1	1	2	4	3
"733"	3	2	2	2	2	4	4	2	2	2
"734"	4	2	2	3	2	4	4	4	3	2
"735"	1	2	1	3	1	2	1	2	4	2
"736"	5	3	2	4	3	5	3	4	5	3
"737"	2	2	4	3	3	2	1	4	1	2
"738"	3	3	4	3	3	2	4	5	3	3
"739"	1	1	1	2	1	5	1	1	5	3
"740"	1	1	2	1	2	2	1	1	1	1
"741"	1	1	1	1	3	5	3	3	1	3
"742"	1	1	1	1	1	1	1	1	1	1
"743"	1	1	2	4	2	2	3	1	3	2
"744"	1	1	1	2	1	1	1	1	1	2
"745"	1	1	2	3	1	3	1	1	3	4
"746"	2	3	2	4	3	3	1	1	2	2
"747"	4	3	3	3	5	5	5	5	5	3
"748"	1	1	3	1	1	1	1	1	5	5
"749"	4	1	3	3	5	1	1	3	1	1
"750"	3	1	1	3	3	3	3	1	2	3
"751"	1	1	1	1	1	1	1	1	2	1
"752"	1	1	1	1	1	1	1	3	1	4
"753"	2	5	4	1	2	4	5	4	5	4
"754"	2	2	2	3	2	4	2	3	2	3
"755"	3	2	1	1	2	2	2	1	1	1
"756"	3	4	4	3	1	3	3	4	3	4
"757"	2	1	2	2	1	2	1	3	2	1
"758"	1	2	5	2	2	4	4	2	4	4
"759"	1	2	2	2	2	5	3	1	3	3
"760"	3	2	2	3	2	5	2	3	2	2
"761"	4	1	3	4	3	3	2	3	3	3
"762"	1	1	1	1	1	1	1	1	1	1
"763"	1	1	1	1	1	1	1	1	1	1
"764"	3	3	1	3	3	3	5	1	5	4
"765"	1	2	2	3	5	5	5	4	5	4
"766"	1	1	1	1	1	1	1	1	3	3
"767"	4	4	4	4	4	5	5	3	3	2
"768"	2	5	5	3	3	4	2	2	3	4
"769"	1	1	2	3	4	5	4	2	3	4
"770"	2	2	2	2	2	2	2	2	2	2
"771"	1	2	3	4	5	4	3	2	1	2
"772"	2	1	3	2	1	4	3	2	4	4
"773"	3	2	2	2	4	5	5	4	4	4
"774"	2	2	2	2	5	5	4	3	2	4
"775"	4	2	2	2	2	2	4	2	2	2
"776"	3	2	2	2	3	5	3	3	3	2
"777"	4	1	1	1	1	1	1	1	1	2
"778"	3	1	1	2	1	1	1	2	1	2
"779"	4	3	4	3	5	5	3	3	4	5
"780"	1	3	3	2	5	2	1	1	4	1
"781"	2	1	2	3	1	5	3	2	3	3
"782"	1	3	1	1	1	2	1	3	5	4
"783"	2	4	5	4	2	1	1	3	3	3
"784"	3	1	2	2	1	3	1	3	3	3
"785"	1	1	1	1	2	2	4	1	2	2
"786"	1	1	1	3	1	3	3	1	2	1
"787"	2	1	1	2	1	1	1	5	1	1
"788"	2	2	3	2	1	1	1	2	2	1
"789"	1	1	3	1	1	2	3	5	5	1
"790"	4	4	5	3	3	4	4	5	5	3
"791"	2	2	1	5	2	2	1	4	3	4
"792"	2	1	2	2	2	5	4	1	3	2
"793"	3	3	3	4	1	1	4	4	5	4
"794"	3	3	3	4	1	5	5	1	3	3
"795"	1	1	1	1	1	5	1	1	1	3
"796"	1	1	1	1	5	5	3	3	1	5
"797"	5	3	4	5	5	5	3	4	3	4
"798"	3	2	1	2	1	1	1	2	1	2
"799"	1	1	1	2	3	1	5	2	3	3
"800"	2	1	3	2	3	3	2	2	2	4
"801"	3	2	1	1	3	4	2	4	2	1
"802"	4	1	1	3	1	1	1	4	2	3
"803"	1	2	3	5	5	2	1	4	1	3
"804"	1	1	1	2	5	5	4	3	3	1
"805"	1	1	1	5	5	5	4	3	3	4
"806"	4	4	3	3	5	5	5	5	5	4
"807"	2	1	2	3	1	5	1	2	4	3
"808"	1	1	1	1	4	5	2	3	3	3
"809"	1	1	1	2	2	2	1	1	3	3
"810"	1	1	1	2	1	5	1	1	4	2
"811"	1	3	4	5	5	5	4	5	4	1
"812"	4	1	2	2	3	2	3	4	3	3
"813"	5	3	2	4	1	5	2	3	4	4
"814"	2	2	2	3	1	5	2	3	4	4
"815"	3	4	5	4	5	3	5	4	5	4
"816"	1	1	1	3	1	1	1	1	1	1
"817"	1	2	3	4	5	1	3	5	5	1
"818"	1	2	2	2	1	1	1	1	1	1
"819"	2	1	1	5	1	1	1	1	1	5
"820"	5	2	2	1	2	3	2	1	1	1
"821"	3	1	1	3	4	5	3	1	3	3
"822"	4	2	3	5	3	5	4	3	3	4
"823"	2	2	2	3	3	4	1	1	1	4
"824"	2	2	1	1	2	2	3	4	5	2
"825"	2	2	5	1	1	1	1	5	1	2
"826"	2	1	5	2	2	1	1	4	3	3
"827"	1	2	3	3	4	3	4	1	4	2
"828"	2	3	2	3	2	2	2	2	4	2
"829"	4	3	2	4	2	3	4	3	2	4
"830"	1	1	2	5	4	1	1	1	1	1
"831"	1	1	2	1	5	5	3	4	3	4
"832"	3	3	3	1	3	3	3	2	4	2
"833"	2	1	4	1	5	5	1	1	4	1
"834"	1	1	3	2	2	5	2	2	2	1
"835"	5	1	4	4	4	3	2	3	2	4
"836"	1	2	1	1	3	2	1	4	3	1
"837"	1	1	1	3	1	1	1	4	1	3
"838"	4	1	2	3	2	1	1	2	4	2
"839"	2	1	3	2	5	4	3	2	3	3
"840"	3	3	3	1	2	2	2	5	4	2
"841"	2	2	3	2	2	4	2	4	5	3
"842"	5	3	1	3	4	4	4	3	3	2
"843"	1	5	5	3	5	5	5	1	5	3
"844"	1	1	1	1	5	1	5	4	5	3
"845"	1	1	1	1	1	3	1	1	3	1
"846"	2	5	3	3	3	4	4	5	5	4
"847"	5	2	2	4	5	5	5	4	5	3
"848"	2	1	2	4	4	4	5	2	1	4
"849"	1	1	1	1	1	1	1	1	1	1
"850"	1	3	4	1	4	3	2	5	3	2
"851"	3	4	1	2	5	1	1	3	2	4
"852"	1	1	1	1	1	1	1	2	5	3
"853"	1	1	2	2	2	2	1	2	2	1
"854"	1	1	1	1	1	2	3	3	4	1
"855"	3	1	2	4	5	5	3	4	2	1
"856"	4	1	1	1	4	4	1	2	3	5
"857"	2	2	2	2	4	5	5	1	4	2
"858"	1	1	2	1	2	4	1	5	3	3
"859"	1	1	1	1	1	1	1	1	1	3
"860"	1	1	1	4	2	2	2	5	3	2
"861"	1	1	2	1	3	3	2	1	2	1
"862"	1	2	2	2	5	2	1	3	1	4
"863"	1	1	1	3	1	3	1	1	3	1
"864"	2	1	2	1	2	5	1	1	3	2
"865"	2	2	2	3	4	4	3	3	3	4
"866"	3	2	3	2	4	3	4	2	3	2
"867"	1	1	1	1	1	1	1	2	1	5
"868"	2	1	1	5	5	4	3	3	1	5
"869"	4	2	2	3	1	2	4	4	2	3
"870"	1	2	2	4	3	1	1	2	1	3
"871"	5	2	3	3	4	4	3	3	2	2
"872"	3	1	1	1	5	5	1	1	1	3
"873"	2	2	2	3	2	2	2	2	4	3
"874"	1	1	3	5	2	2	2	3	4	4
"875"	1	1	2	1	2	3	4	3	4	3
"876"	1	1	3	4	1	2	2	2	3	5
"877"	1	1	1	1	2	1	3	1	2	1
"878"	1	1	1	1	1	1	1	2	4	3
"879"	3	2	2	4	2	3	4	2	3	3
"880"	3	2	1	2	1	1	1	2	2	3
"881"	1	1	1	1	2	3	4	2	4	3
"882"	1	2	3	4	4	1	1	2	1	3
"883"	2	1	1	5	1	2	1	1	3	5
"884"	1	1	2	3	1	3	4	5	3	4
"885"	1	4	4	1	5	5	5	5	5	5
"886"	1	1	2	4	1	1	1	4	3	2
"887"	1	1	1	1	1	1	1	3	1	2
"888"	2	3	4	4	3	2	2	3	5	3
"889"	2	2	2	3	3	3	5	4	2	3
"890"	4	1	2	1	4	4	5	1	5	4
"891"	1	1	1	2	2	3	1	1	5	4
"892"	1	1	2	1	3	4	1	1	3	3
"893"	1	1	1	3	3	3	2	1	3	2
"894"	2	3	4	3	2	2	2	3	3	2
"895"	4	2	2	2	3	5	4	5	3	4
"896"	1	2	2	2	3	3	4	3	4	4
"897"	2	2	2	2	2	5	3	3	3	2
"898"	2	3	2	4	2	3	2	1	2	3
"899"	2	3	2	3	2	2	1	3	4	3
"900"	1	1	2	1	1	1	1	3	1	1
"901"	3	2	3	4	2	3	3	4	4	2
"902"	1	2	2	4	5	4	2	2	1	2
"903"	2	1	1	2	4	3	1	1	3	3
"904"	1	3	1	1	1	1	2	1	2	1
"905"	1	1	1	1	1	1	1	2	4	2
"906"	1	1	1	3	1	4	3	1	2	1
"907"	4	1	2	2	3	5	5	5	3	5
"908"	3	4	4	4	3	4	3	3	4	3
"909"	2	3	2	4	3	2	4	3	2	3
"910"	5	4	1	1	2	4	4	5	5	4
"911"	1	1	2	2	1	5	3	5	4	2
"912"	1	1	1	3	1	1	1	2	1	3
"913"	4	3	2	4	3	5	1	3	3	2
"914"	3	2	3	3	5	1	2	5	2	3
"915"	1	1	4	3	1	1	1	4	1	4
"916"	2	2	4	4	4	3	3	1	2	4
"917"	1	1	1	4	1	3	1	1	2	3
"918"	3	1	1	2	1	1	1	1	2	2
"919"	3	1	2	3	1	2	3	1	5	3
"920"	1	1	2	1	2	2	2	1	3	1
"921"	2	1	1	3	3	2	2	4	3	4
"922"	1	3	3	4	2	3	2	3	2	3
"923"	1	1	3	1	5	5	2	1	1	3
"924"	3	2	2	5	4	3	1	4	3	4
"925"	1	1	1	4	1	2	1	2	2	2
"926"	3	1	2	4	4	4	4	2	4	2
"927"	3	1	1	2	1	4	2	5	2	3
"928"	1	1	5	2	1	1	1	5	1	4
"929"	4	1	2	2	5	5	1	2	1	5
"930"	3	5	3	4	2	4	2	1	3	3
"931"	3	3	3	4	5	5	5	3	5	4
"932"	3	4	2	2	1	1	2	1	3	2
"933"	4	5	5	5	5	2	1	1	1	3
"934"	1	2	2	1	5	5	5	3	4	2
"935"	2	1	4	2	4	1	1	3	4	4
"936"	2	1	2	2	5	5	3	5	2	2
"937"	3	2	4	3	5	4	4	2	3	2
"938"	1	3	4	2	3	5	4	4	3	4
"939"	3	2	4	5	3	2	4	5	5	3
"940"	4	1	1	3	5	1	2	3	1	2
"941"	1	3	4	5	3	5	1	5	3	4
"942"	5	2	2	1	2	4	4	5	3	2
"943"	1	1	1	3	1	1	1	4	4	5
"944"	2	2	2	1	2	2	1	1	2	1
"945"	1	1	2	2	5	3	2	1	2	4
"946"	1	1	3	2	1	1	1	1	1	1
"947"	3	1	1	2	4	3	3	5	5	3
"948"	2	1	2	3	3	4	3	3	4	3
"949"	4	3	1	2	4	4	4	3	4	2
"950"	1	1	1	2	1	1	2	1	1	2
"951"	1	2	5	3	5	1	3	3	1	3
"952"	3	1	1	4	3	2	1	3	2	4
"953"	3	1	1	4	2	3	2	3	4	3
"954"	3	4	4	4	5	5	1	4	4	4
"955"	4	5	3	3	3	4	2	5	2	2
"956"	1	1	1	1	2	1	1	1	1	3
"957"	1	1	1	4	1	1	1	2	4	4
"958"	1	1	1	3	3	3	1	1	2	3
"959"	3	2	4	3	5	5	5	2	4	3
"960"	1	2	4	3	5	5	3	2	2	3
"961"	2	1	2	1	3	3	1	1	3	1
"962"	1	1	1	2	1	1	1	1	2	3
"963"	5	2	1	3	1	1	1	3	3	5
"964"	1	1	1	3	1	1	1	1	1	1
"965"	2	2	2	3	3	3	2	2	2	4
"966"	5	3	5	1	5	5	3	1	5	5
"967"	1	1	1	1	1	1	1	1	1	1
"968"	1	1	1	1	1	1	1	1	1	3
"969"	1	1	1	1	1	3	2	2	2	2
"970"	1	4	5	4	2	3	4	1	2	3
"971"	1	1	1	5	2	3	4	1	3	4
"972"	3	4	3	3	3	4	1	4	5	4
"973"	1	4	5	3	5	5	1	3	4	3
"974"	2	4	2	3	2	4	1	2	2	5
"975"	2	2	3	3	3	1	1	1	1	3
"976"	1	1	1	3	5	3	4	4	4	3
"977"	4	2	2	2	4	4	3	1	3	3
"978"	3	2	2	2	2	3	2	3	2	3
"979"	3	1	4	3	4	4	3	4	2	3
"980"	2	1	2	3	4	3	3	4	3	2
"981"	1	2	1	2	5	1	1	4	4	1
"982"	2	1	2	3	5	4	4	3	4	3
"983"	1	2	4	2	1	2	2	5	3	3
"984"	4	1	3	3	5	5	5	2	5	2
"985"	1	1	4	5	5	2	1	1	3	2
"986"	3	2	3	3	4	2	1	1	4	4
"987"	1	1	3	1	1	4	1	1	5	1
"988"	2	1	2	5	2	2	1	3	4	3
"989"	1	1	1	1	1	1	1	1	1	1
"990"	2	5	4	5	1	1	1	2	1	1
"991"	1	1	1	1	1	1	1	2	1	2
"992"	5	3	1	5	3	5	3	1	3	3
"993"	3	1	1	5	5	3	2	2	3	4
"994"	2	2	2	1	3	3	3	2	4	3
"995"	1	1	1	1	4	4	1	3	1	3
"996"	3	2	1	1	1	2	1	1	2	2
"997"	1	1	2	3	2	1	1	1	4	3
"998"	5	3	2	1	4	5	4	2	3	4
"999"	2	1	1	3	1	4	1	2	1	2
"1000"	2	1	1	2	2	2	1	1	2	1
"1001"	1	1	1	1	1	1	1	5	3	2
"1002"	5	1	1	5	1	1	1	4	2	2
"1003"	1	1	1	1	1	1	1	1	1	4
"1004"	4	1	1	4	4	5	4	1	3	2
"1005"	1	1	2	3	3	2	2	3	2	3
"1006"	1	2	4	5	2	2	2	3	3	4
"1007"	1	1	1	1	1	1	1	2	5	5
"1008"	2	1	3	2	2	2	1	1	1	5
"1009"	2	3	2	5	3	3	3	3	5	5
"1010"	2	1	2	5	1	4	2	2	3	2
